session_key,driver_number,compound,stint_length,bias_applied,mae,rmse,total_delta,confidence
9869,23,SOFT,17,14.884749999999997,0.8232941176470594,3.3945286080085184,13.996000000000095,72.00799999999998
9869,23,MEDIUM,16,1.8717500000000058,1.7547499999999996,7.018999999999998,28.076000000000022,43.84800000000001
9869,27,MEDIUM,35,0.9478571428571481,0.9208000000000003,5.447526264278128,32.228000000000065,35.54399999999998
9869,27,SOFT,32,8.728428571428568,0.89871875,5.08392098003598,28.759000000000015,42.482
9869,30,SOFT,18,1.7046111111111233,1.6098888888888894,6.83018010174126,28.977999999999838,42.04399999999998
9869,30,MEDIUM,49,6.15305769230768,0.7813877551020411,5.4697142857142875,38.28800000000001,23.423999999999978
9869,31,HARD,7,1.0381428571428646,0.8898571428571428,2.354340702374476,6.228999999999928,87.542
9869,31,MEDIUM,60,4.860349206349196,0.4556833333333335,3.529707922288567,27.34099999999944,45.317999999999984
9869,43,MEDIUM,28,1.0988928571428656,1.0596428571428567,5.607102957091883,29.670000000000073,40.660000000000025
9869,43,SOFT,11,21.393857142857144,0.7695454545454549,2.5522935318507702,8.465000000000032,83.07
9869,43,MEDIUM,28,1.2637500000000077,1.2186071428571428,6.448262891773919,34.121000000000095,31.75800000000001
9869,44,HARD,12,2.9273333333333276,2.6833333333333336,9.295339333952976,32.200000000000045,35.599999999999994
9869,44,MEDIUM,23,1.280304347826092,1.2246521739130436,5.873225500745625,28.166999999999916,43.666
9869,55,SOFT,16,1.9614999999999867,1.8388749999999998,7.355499999999999,29.422000000000025,41.156000000000006
9869,55,MEDIUM,21,1.7437142857142827,1.6607142857142858,7.6103489219802345,34.875,30.25
9869,63,MEDIUM,33,0.9498484848484926,0.9210606060606059,5.291090352773435,30.394999999999982,39.21000000000001
9869,63,SOFT,10,27.719928571428575,0.19189999999999968,0.606841082986311,1.9190000000000964,96.162
9869,63,MEDIUM,23,1.4598695652173912,1.3963913043478262,6.696857436271071,32.11699999999996,35.76599999999999
9869,81,MEDIUM,37,0.8105135135135021,0.7885945945945945,4.796833651595715,29.177999999999884,41.64400000000001
9869,81,MEDIUM,20,1.663650000000007,1.5804500000000004,7.067987270079088,31.60900000000015,36.78199999999998
9869,87,SOFT,16,1.8811874999999958,1.7636250000000002,7.054500000000001,28.218000000000075,43.56399999999999
9869,87,MEDIUM,51,5.662574074074065,0.5503137254901961,3.9300260838330128,28.06600000000026,43.868
9877,1,MEDIUM,36,0.6830277777777636,0.6640555555555557,3.984333333333334,23.90599999999995,52.18799999999999
9877,1,SOFT,34,0.580235294117649,0.5631764705882352,3.2838549083087587,19.147999999999683,61.70400000000001
